Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 4 camere,Apartament cu living,135 m²,Construcţii noi,15,8,Euroreparație,3,Subterană,450 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,,63 m²,Construcţii noi,5,10,Variantă albă,2,,94 600€,2,,,,,,,,
Agenție,Apartament cu 1 cameră,,46 m²,Construcţii noi,8,12,Euroreparație,1,,97 900€,1,Individuală,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,81 m²,Construcţii noi,4,9,Variantă albă,1,,137 870€,1,Individuală,Inamstro,Beton,,,,,
Agenție,Apartament cu 3 camere,,93 m²,Construcţii noi,2,13,Euroreparație,1,,900€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,58 m²,Construcţii noi,1,10,,,,159 800€,,,,,,,,,
Agenție,Apartament cu 2 camere,,91 m²,Construcţii noi,6,13,Euroreparație,1,,800€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament fără living,47 m²,Construcţii noi,2,3,Euroreparație,1,Sub acoperiș,89 900€,1,,,,,,,,
Persoană fizică,O cameră,,30 m²,Secundar,1,2,Reparație cosmetică,1,Deschis,350€,1,Garsonieră,,Cotileț,Se acceptă copii,Se acceptă animale,32 m²,,
Dezvoltator imobiliar,O cameră,,25 m²,Secundar,1,1,Design individual,1,,75MDL,,Pe pămănt,,Cotileț,Fără copii,Fără animale,,10 m²,
Persoană fizică,Apartament cu 2 camere,,59 m²,Construcţii noi,2,10,Euroreparație,1,Deschis,147 500€,1,Individuală,Sky House,Combinat,,,,,
Persoană fizică,Apartament cu 2 camere,,54 m²,Construcţii noi,16,18,,,,54 900€,,,,,,,,,3000 cm
Persoană fizică,Apartament cu 3 camere,,71 m²,Construcţii noi,14,17,Design individual,,,209 600€,,,,,,,,,
Agenție,Apartament cu 3 camere,,114 m²,Construcţii noi,8,9,Variantă albă,3,Subterană,175 000€,1,,Solomon Construct Imobil,Cărămidă,,,,,
Agenție,Apartament cu 1 cameră,,51 m²,Construcţii noi,1,17,Euroreparație,1,Deschis,92 000€,Nu,Individuală,,Combinat,,,,,
