animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Agenție,1.0,Individuală,,,2.0,Secundar,1.0,,,Deschis,1,5.0,Reparație cosmetică,,,20,Cotileț,35000,Chișinău_Râșcani,0
,Agenție,,Individuală,,,2.0,Construcţii noi,2.0,,,Deschis,4,10.0,Euroreparație,,,94,,179900,Chișinău_Râșcani,0
,Dezvoltator imobiliar,,Individuală,,,5.0,Construcţii noi,1.0,,Apartament cu living,,2,12.0,,,,53,,165000,Chișinău_Botanica,0
,Persoană fizică,1.0,Individuală,,,4.0,Secundar,2.0,,,Deschis,4,5.0,Reparație cosmetică,,,70,,69500,Porumbeni_Centru,0
,Agenție,Nu,Individuală,,Exfactor-grup,1.0,Construcţii noi,1.0,,Apartament fără living,,2,9.0,Euroreparație,12 m²,40 m²,44,Cărămidă,86900,Chișinău_Poșta Veche,0
,Agenție,,Hruşciovka,,,1.0,Secundar,1.0,,Apartament cu living,Deschis,3,5.0,Euroreparație,,,41,Cotileț,89900,Chișinău_Râșcani,0
,Agenție,Nu,Individuală,,,3.0,Construcţii noi,1.0,0.0,Apartament fără living,Deschis,3,10.0,Euroreparație,0 m²,0 m²,52,,110000,Chișinău_Telecentru,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,Apartament cu living,Deschis,4,5.0,Design individual,,,108,Cotileț,149000,Chișinău_Buiucani,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,,Deschis,1,5.0,Fără reparație,,,18,,27000,Chișinău_Buiucani,0
,Agenție,1,Individuală,,Lagmar Impex,3.0,Construcţii noi,1.0,,Apartament cu living,Subterană,4,14.0,Euroreparație,,,75,,164900,Chișinău_Telecentru,0
,Agenție,1,Individuală,,Basconslux,3.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,12.0,Variantă albă,,,78,Combinat,124000,Chișinău_Ciocana,0
,Agenție,1,Individuală,,Basconslux,6.0,Construcţii noi,2.0,0.0,Apartament cu living,Deschis,3,12.0,,69 m²,69 m²,69,Combinat,155000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,,Individuală,,,7.0,Secundar,1.0,,,,3,10.0,,,,45,,94900,Chișinău_Botanica,0
Se acceptă animale,Agenție,Nu,Individuală,Se acceptă copii,,5.0,Secundar,1.0,,Apartament fără living,Deschis,2,9.0,Euroreparație,,,16,,30500,Chișinău_Ciocana,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Construcţii noi,1.0,,,,3,5.0,,,,74,,225000,Chișinău_Botanica,0
,Agenție,,Individuală,,,2.0,Construcţii noi,1.0,,,,3,10.0,,,,53,,90900,Chișinău_Ciocana,0
,Agenție,2,Individuală,,,9.0,Construcţii noi,2.0,,,Subterană,2,10.0,Variantă albă,,,47,,72000,Chișinău_Ciocana,0
,Agenție,3,143,,,5.0,Secundar,2.0,,,Deschis,5,9.0,Variantă sură,,,105,,117000,Chișinău_Centru,0
,Agenție,2,Hruşciovka,,,4.0,Secundar,1.0,,,Deschis,4,5.0,Euroreparație,,,68,Panou,125000,Chișinău_Botanica,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Secundar,1.0,,,,3,5.0,,,,37,,24000,Strășeni_Periferie,0
,Agenție,1,Individuală,,,5.0,Construcţii noi,2.0,,,Deschis,2,9.0,Construcție nefinisată,,,50,Cărămidă,76900,Chișinău_Râșcani,0
,Dezvoltator imobiliar,,Individuală,,,3.0,Secundar,1.0,,,,3,5.0,,,,43,,92500,Chișinău_Sculeni,0
,Agenție,,Individuală,,,5.0,Construcţii noi,1.0,,,,4,10.0,Euroreparație,,,89,,235000,Chișinău_Buiucani,0
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,1.0,2.75,Apartament cu living,Subterană,3,9.0,Variantă albă,,,67,Cărămidă,89100,Chișinău_Botanica,0
,Agenție,1,Individuală,,,5.0,Secundar,2.0,,,Deschis,5,5.0,Euroreparație,,,85,Cotileț,125000,Chișinău_Buiucani,0
,Agenție,,Individuală,,,3.0,Construcţii noi,1.0,,,,2,10.0,,,,46,,78200,Chișinău_Buiucani,0
,Agenție,3,Individuală,,,6.0,Construcţii noi,1.0,,Apartament cu living,Subterană,3,13.0,,,,88,,189900,Chișinău_Botanica,0
,Persoană fizică,,Individuală,,,11.0,Construcţii noi,1.0,,,,1,11.0,,,,54,,95000,Chișinău_Buiucani,0
,Dezvoltator imobiliar,1,Individuală,,,2.0,Secundar,1.0,2.6,Apartament cu living,Deschis,2,5.0,Reparație cosmetică,10 m²,,33,Combinat,49800,Ialoveni_Centru,0
,Persoană fizică,2,143,,,1.0,Secundar,2.0,,,Deschis,4,9.0,Euroreparație,,65 m²,88,,139900,Chișinău_Centru,0
,Agenție,1,Individuală,,Volare Tur,11.0,Construcţii noi,2.0,,Apartament cu living,Subterană,3,13.0,Euroreparație,,63 m²,63,Combinat,164900,Chișinău_Râșcani,0
,Agenție,,Individuală,,,5.0,Construcţii noi,1.0,,,,2,9.0,Variantă albă,,,48,,47600,Ungheni_Centru,0
,Persoană fizică,,Individuală,,,5.0,Secundar,1.0,,,,2,5.0,,,,33,,53499,Chișinău_Botanica,0
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,1.0,2.75,Apartament cu living,Subterană,2,9.0,Variantă albă,,,49,Cărămidă,69100,Chișinău_Botanica,0
,Persoană fizică,1,Individuală,,Sky House,2.0,Construcţii noi,2.0,,Apartament cu living,,4,10.0,Euroreparație,,75 m²,75,Cărămidă,133000,Bacioi_Periferie,0
,Agenție,1,Individuală,,,8.0,Construcţii noi,1.0,,,,3,9.0,Euroreparație,,,89,,185000,Chișinău_Centru,0
,Agenție,1,Individuală,,Exfactor-grup,3.0,Construcţii noi,2.0,,Apartament cu living,Subterană,4,9.0,Euroreparație,,,88,,249900,Chișinău_Ciocana,0
,Agenție,,Individuală,,Dansicons,9.0,Construcţii noi,2.0,0.0,,,4,10.0,Euroreparație,0 m²,0 m²,230,,450000,Chișinău_Buiucani,0
,Persoană fizică,,Individuală,,,6.0,Construcţii noi,1.0,,,,2,12.0,Variantă albă,,,44,Combinat,115000,Chișinău_Centru,0
,Agenție,1,Individuală,,,12.0,Construcţii noi,2.0,,Apartament cu living,Deschis,3,12.0,Variantă albă,,,84,,99800,Chișinău_Telecentru,0
,Agenție,,Individuală,,,3.0,Construcţii noi,1.0,0.0,Apartament cu living,,2,7.0,Euroreparație,0 m²,0 m²,50,,115000,Dumbrava_Centru,0
,Dezvoltator imobiliar,,Individuală,,,5.0,Secundar,1.0,,,,3,10.0,,,,63,,114900,Chișinău_Botanica,0
,Persoană fizică,1,Individuală,,Basconslux,4.0,Construcţii noi,1.0,0.03,Apartament fără living,Subterană,2,15.0,Euroreparație,20 m²,50 m²,55,Monolit,109990,Chișinău_Buiucani,0
