animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Persoană fizică,,,,Dansicons,9,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10.0,Euroreparație,,,95 m²,,219000
,Agenție,,,,,1,Secundar,,,Apartament cu living,,Apartament cu 2 camere,4.0,Euroreparație,,,49 m²,,94900
,Dezvoltator imobiliar,,,,,3,Construcţii noi,,,,,Apartament cu 1 cameră,8.0,Variantă albă,,,47 m²,,52259
,Agenție,1.0,,,,5,Construcţii noi,2.0,,Apartament cu living,Deschis,Apartament cu 4 camere,9.0,Euroreparație,,,100 m²,,220000
Fără animale,Agenție,1,Individuală,Se acceptă copii,,7,Construcţii noi,1.0,280 cm,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,53 m²,,152500
,Agenție,Nu,,,,9,Construcţii noi,1.0,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,59 m²,,139900
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,49 m²,Cărămidă,67000
,Dezvoltator imobiliar,1,,,Golban Trade,4,Construcţii noi,1.0,,,Subterană,Apartament cu 1 cameră,8.0,Variantă albă,,,47 m²,,53660
,Agenție,1,,,Exfactor-grup,9,Construcţii noi,1.0,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,,,51 m²,,95000
,Agenție,1,,,,5,Construcţii noi,2.0,,Apartament cu living,Deschis,Apartament cu 4 camere,9.0,Euroreparație,,,100 m²,,220000
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,12.0,Variantă albă,,,54 m²,Cărămidă,77900
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,84 m²,Cărămidă,106650
,Agenție,1,Individuală,,,4,Construcţii noi,1.0,300 cm,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Variantă albă,,,85 m²,,254900
,Dezvoltator imobiliar,Nu,,,Estate Invest Company,3,Construcţii noi,1,2700 cm,,Subterană,Apartament cu 1 cameră,4.0,Variantă albă,12 m²,45 m²,45 m²,Cărămidă,49050
,Agenție,Nu,,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,67 m²,,77000
,Agenție,Nu,,,,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,59 m²,,139900
,Agenție,1,,,,6,Construcţii noi,2,,,,Apartament cu 3 camere,12.0,Variantă albă,,,74 m²,,96500
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,42 m²,,99900
,Agenție,1,,,NG Invest,3,Construcţii noi,2,320 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Construcție nefinisată,,,56 m²,Combinat,100000
