price,total_area,number_of_rooms,apartment_condition,housing_fund,region,living_room,parking_spot,number_of_floors,bathroom,floor,is_penthouse,compartmentalization
35000,20,1,7,1,47,-1,0,5.0,1.0,2.0,0,8
179900,94,4,5,0,47,-1,0,10.0,2.0,2.0,0,8
165000,53,2,-1,0,41,0,-1,12.0,1.0,5.0,0,8
69500,70,4,7,1,115,-1,0,5.0,2.0,4.0,0,8
86900,44,2,5,0,46,1,-1,9.0,1.0,1.0,0,8
89900,41,3,5,1,47,0,0,5.0,1.0,1.0,0,7
110000,52,3,5,0,49,1,0,10.0,1.0,3.0,0,8
149000,108,4,4,1,42,0,0,5.0,1.0,1.0,0,8
27000,18,1,6,1,42,-1,0,5.0,1.0,1.0,0,8
164900,75,4,5,0,49,0,3,14.0,1.0,3.0,0,8
124000,78,3,8,0,44,0,0,12.0,1.0,3.0,0,8
155000,69,3,-1,0,44,0,0,12.0,2.0,6.0,0,8
94900,45,3,-1,1,41,-1,-1,10.0,1.0,7.0,0,8
30500,16,2,5,1,44,1,0,9.0,1.0,5.0,0,8
225000,74,3,-1,0,41,-1,-1,5.0,1.0,2.0,0,8
90900,53,3,-1,0,44,-1,-1,10.0,1.0,2.0,0,8
72000,47,2,8,0,44,-1,3,10.0,2.0,9.0,0,8
117000,105,5,9,1,43,-1,0,9.0,2.0,5.0,0,2
125000,68,4,5,1,41,-1,0,5.0,1.0,4.0,0,7
24000,37,3,-1,1,125,-1,-1,5.0,1.0,2.0,0,8
76900,50,2,2,0,47,-1,0,9.0,2.0,5.0,0,8
92500,43,3,-1,1,48,-1,-1,5.0,1.0,3.0,0,8
235000,89,4,5,0,42,-1,-1,10.0,1.0,5.0,0,8
89100,67,3,8,0,41,0,3,9.0,1.0,3.0,0,8
125000,85,5,5,1,42,-1,0,5.0,2.0,5.0,0,8
78200,46,2,-1,0,42,-1,-1,10.0,1.0,3.0,0,8
189900,88,3,-1,0,41,0,3,13.0,1.0,6.0,0,8
95000,54,1,-1,0,42,-1,-1,11.0,1.0,11.0,0,8
49800,33,2,7,1,99,0,0,5.0,1.0,2.0,0,8
139900,88,4,5,1,43,-1,0,9.0,2.0,1.0,0,2
164900,63,3,5,0,47,0,3,13.0,2.0,11.0,0,8
47600,48,2,8,0,144,-1,-1,9.0,1.0,5.0,0,8
53499,33,2,-1,1,41,-1,-1,5.0,1.0,5.0,0,8
69100,49,2,8,0,41,0,3,9.0,1.0,3.0,0,8
133000,75,4,5,0,2,0,-1,10.0,2.0,2.0,0,8
185000,89,3,5,0,43,-1,-1,9.0,1.0,8.0,0,8
249900,88,4,5,0,44,0,3,9.0,2.0,3.0,0,8
450000,230,4,5,0,42,-1,-1,10.0,2.0,9.0,0,8
115000,44,2,8,0,43,-1,-1,12.0,1.0,6.0,0,8
99800,84,3,8,0,49,0,0,12.0,2.0,12.0,0,8
115000,50,2,5,0,78,0,-1,7.0,1.0,3.0,0,8
114900,63,3,-1,1,41,-1,-1,10.0,1.0,5.0,0,8
109990,55,2,5,0,42,1,3,15.0,1.0,4.0,0,8
108000,57,3,5,1,41,-1,0,9.0,1.0,9.0,0,8
159900,70,3,-1,0,47,0,-1,10.0,1.0,9.0,0,8
95000,42,3,5,1,43,0,-1,5.0,1.0,5.0,0,8
170000,112,3,5,0,99,0,0,8.0,2.0,8.0,0,8
279900,100,4,-1,0,43,0,-1,6.0,1.0,3.0,0,8
245000,70,2,4,0,43,0,-1,19.0,1.0,17.0,0,8
95000,52,2,3,0,42,0,-1,9.0,2.0,6.0,0,8
142000,64,3,5,0,41,-1,0,13.0,2.0,9.0,0,8
95000,42,3,5,1,49,0,0,5.0,1.0,1.0,0,8
76843,77,4,8,0,144,0,0,10.0,1.0,1.0,0,8
220000,74,3,4,0,47,-1,3,17.0,1.0,15.0,0,8
259600,118,4,5,0,47,0,-1,10.0,1.0,10.0,0,8
209999,93,2,5,0,42,0,0,10.0,1.0,10.0,0,8
62400,78,3,9,0,41,-1,-1,14.0,1.0,2.0,0,8
52000,70,4,6,1,27,1,0,3.0,2.0,1.0,0,8
108000,90,4,-1,0,47,0,-1,12.0,1.0,12.0,0,8
