Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price,region
,Agenție,1.0,,,,2,Secundar,1.0,,,Deschis,O cameră,5,Reparație cosmetică,,,20 m²,Cotileț,35 000€,Chișinău_Râșcani
,Agenție,,,,,2,Construcţii noi,2.0,,,Deschis,Apartament cu 3 camere,10,Euroreparație,,,94 m²,,179 900€,Chișinău_Râșcani
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,12,,,,53 m²,,165 000€,Chișinău_Botanica
,Persoană fizică,1.0,,,,4,Secundar,2.0,,,Deschis,Apartament cu 3 camere,5,Reparație cosmetică,,,70 m²,,69 500€,Porumbeni_Centru
,Agenție,Nu,,,Exfactor-grup,1,Construcţii noi,1.0,,Apartament fără living,,Apartament cu 1 cameră,9,Euroreparație,12 m²,40 m²,44 m²,Cărămidă,86 900€,Chișinău_Poșta Veche
,Persoană fizică,,,,,2,Secundar,,,,,Apartament cu 2 camere,2,,,,40 m²,,5 500€,Cupcini_Periferie
,Agenție,,Hruşciovka,,,1,Secundar,1.0,,Apartament cu living,Deschis,Apartament cu 2 camere,5,Euroreparație,,,41 m²,Cotileț,89 900€,Chișinău_Râșcani
,Agenție,Nu,,,,3,Construcţii noi,1.0,0 cm,Apartament fără living,Deschis,Apartament cu 2 camere,10,Euroreparație,0 m²,0 m²,52 m²,,110 000€,Chișinău_Telecentru
,Agenție,,,,,1,Secundar,,,Apartament cu living,Deschis,Apartament cu 3 camere,5,Design individual,,,108 m²,Cotileț,149 000€,Chișinău_Buiucani
,Agenție,,,,,1,Secundar,,,,Deschis,O cameră,5,Fără reparație,,,18 m²,,27 000€,Chișinău_Buiucani
,Agenție,1,,,Lagmar Impex,3,Construcţii noi,1.0,,Apartament cu living,Subterană,Apartament cu 3 camere,14,Euroreparație,,,75 m²,,164 900€,Chișinău_Telecentru
,Agenție,1,Individuală,,Basconslux,3,Construcţii noi,1.0,,Apartament cu living,Deschis,Apartament cu 2 camere,12,Variantă albă,,,78 m²,Combinat,124 000€,Chișinău_Ciocana
